,Description,Price,Rating,ReviewCount,Url,Url_img,Brand
0,"Smart Watch for Men Women, Fitness Watch Alexa Built-in 1.69'' Touch Screen Fitness Tracker Heart Rate Monitor Watch Blood Oxygen Sleep Monitor, Step Tracker 5ATM Waterproof Watch for Android iOS",26.99,3.8,52,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A02119641LB4KGUAR850V&url=%2FFitness-Tracker-Monitor-Counter-Waterproof%2Fdp%2FB09BL29N11%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-1-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_atf,https://m.media-amazon.com/images/I/71jSzhhboaL._AC_UL320_.jpg,Wuwasei
1,"Mens Digital Watch, Mens Sports Military Watches Waterproof Outdoor Chronograph Multifunctional Watch with LED Back Light/Alarm/Date/Shockproof",24.99,4.3,166,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A06065972MUV18Z638BJV&url=%2FMilitary-Waterproof-Chronograph-Multifunctional-Shockproof%2Fdp%2FB08FM17WG9%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-2-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_atf,https://m.media-amazon.com/images/I/71MlFGahpWL._AC_UL320_.jpg,Senors
2,Watches for Men BENYAR Chronograph Waterproof Analog Display Quartz Movement Wrist Men's Watch The Gift of Elegancet…,49.99,4.4,9125,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A01536413CBR6F9SKORV4&url=%2FBENYAR-Movement-Resistant-Occasion-Available%2Fdp%2FB07TJW59YZ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-3-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_atf,https://m.media-amazon.com/images/I/71MFZZWSvRL._AC_UL320_.jpg,BY BENYAR
3,Men's Fashion Minimalist Wrist Watch Analog Date with Leather Strap,39.99,4.4,2196,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A09956641ZWX8T76C0NEB&url=%2FBUREI-Fashion-Minimalist-Analog-Leather%2Fdp%2FB07Q8R27DM%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-4-spons%26psc%3D1%26smid%3DANKL52TQMZ4HH&qualifier=1655330831&id=1351915097760973&widgetName=sp_atf,https://m.media-amazon.com/images/I/71UWQ7-nxvL._AC_UL320_.jpg,BUREI
4,Men's Classic Digital Resin Watch Black F108WH-1,23.99,4.7,7152,https://www.amazon.ca/Casio-Classic-Digital-Resin-F108WH-1/dp/B0053HBJBE/ref=sr_1_5?keywords=watch&qid=1655330831&s=fashion&sr=1-5,https://m.media-amazon.com/images/I/510T962DtNL._AC_UL320_.jpg,Casio
5,Men's Slim Runway Stainless Steel Quartz Watch,139.81,4.0,6367,https://www.amazon.ca/Michael-Kors-Runway-Black-MK8507/dp/B01HEVAPSO/ref=sr_1_6?keywords=watch&qid=1655330831&s=fashion&sr=1-6,https://m.media-amazon.com/images/I/71sMS5i3wxL._AC_UL320_.jpg,Michael Kors
6,Men's MQ24-7B Analog Black Resin Strap Watch,18.79,4.4,21047,https://www.amazon.ca/Casio-MQ24-7B-Analog-Black-Resin/dp/B000JNKABW/ref=sr_1_7?keywords=watch&qid=1655330831&s=fashion&sr=1-7,https://m.media-amazon.com/images/I/71civqLLpdL._AC_UL320_.jpg,Casio
7,"Men's Watches with Black Stainless Steel and Metal Casual Waterproof Chronograph Quartz Watch, Auto Date in Colorful Hands",42.49,4.3,6260,https://www.amazon.ca/GOLDEN-HOUR-Stainless-Waterproof-Chronograph/dp/B087JG6H25/ref=sr_1_8?keywords=watch&qid=1655330831&s=fashion&sr=1-8,https://m.media-amazon.com/images/I/61hwd7aAmnL._AC_UL320_.jpg,GOLDEN HOUR
8,Men's Classic Black Resin Strap Watch Digital F91W-1,22.42,4.0,23317,https://www.amazon.ca/Casio-Classic-Black-Digital-F91W-1/dp/B000GAWSDG/ref=sr_1_9?keywords=watch&qid=1655330831&s=fashion&sr=1-9,https://m.media-amazon.com/images/I/51Nk5SEBARL._AC_UL320_.jpg,Casio
9,Automatic Pro Diver Stainless Steel Watch,122.63,4.4,29930,https://www.amazon.ca/Invicta-8926OB-Collection-Coin-Edge-Automatic/dp/B000JQFX1G/ref=sr_1_10?keywords=watch&qid=1655330831&s=fashion&sr=1-10,https://m.media-amazon.com/images/I/71e04Q53xlL._AC_UL320_.jpg,INVICTA
